REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2020/04/01 00:30:00,6930.93,54.51,TRADE
NSW1,2020/04/01 01:00:00,6724.39,59.63,TRADE
NSW1,2020/04/01 01:30:00,6448.24,57.16,TRADE
NSW1,2020/04/01 02:00:00,6234.22,53.38,TRADE
NSW1,2020/04/01 02:30:00,6033.33,42.88,TRADE
NSW1,2020/04/01 03:00:00,5990.86,42.19,TRADE
NSW1,2020/04/01 03:30:00,5985.69,40.16,TRADE
NSW1,2020/04/01 04:00:00,6009.99,38.47,TRADE
NSW1,2020/04/01 04:30:00,6127.43,43.98,TRADE
NSW1,2020/04/01 05:00:00,6320.62,49.17,TRADE
NSW1,2020/04/01 05:30:00,6643.05,48.36,TRADE
NSW1,2020/04/01 06:00:00,6959.67,51.70,TRADE
NSW1,2020/04/01 06:30:00,7237.4,55.09,TRADE
NSW1,2020/04/01 07:00:00,7456.44,57.17,TRADE
NSW1,2020/04/01 07:30:00,7544.91,56.34,TRADE
NSW1,2020/04/01 08:00:00,7615.68,61.39,TRADE
NSW1,2020/04/01 08:30:00,7592.05,58.64,TRADE
NSW1,2020/04/01 09:00:00,7524.57,52.23,TRADE
NSW1,2020/04/01 09:30:00,7571.71,60.86,TRADE
NSW1,2020/04/01 10:00:00,7572.54,62.65,TRADE
NSW1,2020/04/01 10:30:00,7539.63,57.85,TRADE
NSW1,2020/04/01 11:00:00,7522.5,56.50,TRADE
NSW1,2020/04/01 11:30:00,7420.18,65.28,TRADE
NSW1,2020/04/01 12:00:00,7419.49,68.90,TRADE
NSW1,2020/04/01 12:30:00,7452.9,66.03,TRADE
NSW1,2020/04/01 13:00:00,7419,63.40,TRADE
NSW1,2020/04/01 13:30:00,7408.71,58.78,TRADE
NSW1,2020/04/01 14:00:00,7439.93,68.07,TRADE
NSW1,2020/04/01 14:30:00,7396.79,72.17,TRADE
NSW1,2020/04/01 15:00:00,7456.09,71.37,TRADE
NSW1,2020/04/01 15:30:00,7575.79,72.57,TRADE
NSW1,2020/04/01 16:00:00,7750.4,80.55,TRADE
NSW1,2020/04/01 16:30:00,8010.81,72.89,TRADE
NSW1,2020/04/01 17:00:00,8238.2,155.68,TRADE
NSW1,2020/04/01 17:30:00,8279.13,86.79,TRADE
NSW1,2020/04/01 18:00:00,8324.82,168.83,TRADE
NSW1,2020/04/01 18:30:00,8316.53,77.25,TRADE
NSW1,2020/04/01 19:00:00,8156.93,63.77,TRADE
NSW1,2020/04/01 19:30:00,7967.12,54.78,TRADE
NSW1,2020/04/01 20:00:00,7802.77,50.36,TRADE
NSW1,2020/04/01 20:30:00,7645.67,53.43,TRADE
NSW1,2020/04/01 21:00:00,7447.57,47.74,TRADE
NSW1,2020/04/01 21:30:00,7440.94,55.01,TRADE
NSW1,2020/04/01 22:00:00,7335.89,47.15,TRADE
NSW1,2020/04/01 22:30:00,7330.71,58.13,TRADE
NSW1,2020/04/01 23:00:00,7305.72,51.03,TRADE
NSW1,2020/04/01 23:30:00,7129.77,53.54,TRADE
NSW1,2020/04/02 00:00:00,7035.37,50.84,TRADE
NSW1,2020/04/02 00:30:00,6870.65,53.40,TRADE
NSW1,2020/04/02 01:00:00,6659.01,50.93,TRADE
NSW1,2020/04/02 01:30:00,6393.85,42.39,TRADE
NSW1,2020/04/02 02:00:00,6140.79,38.73,TRADE
NSW1,2020/04/02 02:30:00,6054.59,41.60,TRADE
NSW1,2020/04/02 03:00:00,5940.75,41.71,TRADE
NSW1,2020/04/02 03:30:00,5926.47,41.33,TRADE
NSW1,2020/04/02 04:00:00,5972.1,41.41,TRADE
NSW1,2020/04/02 04:30:00,6154.74,45.63,TRADE
NSW1,2020/04/02 05:00:00,6283.58,48.88,TRADE
NSW1,2020/04/02 05:30:00,6684.44,52.98,TRADE
NSW1,2020/04/02 06:00:00,7017.85,60.93,TRADE
NSW1,2020/04/02 06:30:00,7274.42,60,TRADE
NSW1,2020/04/02 07:00:00,7493.39,56.43,TRADE
NSW1,2020/04/02 07:30:00,7759.57,60.46,TRADE
NSW1,2020/04/02 08:00:00,7936.57,67.42,TRADE
NSW1,2020/04/02 08:30:00,7777.66,65.22,TRADE
NSW1,2020/04/02 09:00:00,7823.84,66.20,TRADE
NSW1,2020/04/02 09:30:00,7825.68,67.66,TRADE
NSW1,2020/04/02 10:00:00,7703.67,56.60,TRADE
NSW1,2020/04/02 10:30:00,7591.7,58.26,TRADE
NSW1,2020/04/02 11:00:00,7579.6,62.22,TRADE
NSW1,2020/04/02 11:30:00,7725.36,62.91,TRADE
NSW1,2020/04/02 12:00:00,7801.89,62.16,TRADE
NSW1,2020/04/02 12:30:00,7958.34,59.45,TRADE
NSW1,2020/04/02 13:00:00,7944.64,65.79,TRADE
NSW1,2020/04/02 13:30:00,7892.93,63.33,TRADE
NSW1,2020/04/02 14:00:00,7904.27,60.69,TRADE
NSW1,2020/04/02 14:30:00,7819.49,65.80,TRADE
NSW1,2020/04/02 15:00:00,7806.47,66.88,TRADE
NSW1,2020/04/02 15:30:00,7866.35,61.94,TRADE
NSW1,2020/04/02 16:00:00,8016.38,68.47,TRADE
NSW1,2020/04/02 16:30:00,8202.21,61.82,TRADE
NSW1,2020/04/02 17:00:00,8358.23,67.92,TRADE
NSW1,2020/04/02 17:30:00,8398.97,67.51,TRADE
NSW1,2020/04/02 18:00:00,8362.32,67.10,TRADE
NSW1,2020/04/02 18:30:00,8280.47,66.75,TRADE
NSW1,2020/04/02 19:00:00,8061.35,64.89,TRADE
NSW1,2020/04/02 19:30:00,7808.5,57.05,TRADE
NSW1,2020/04/02 20:00:00,7645.67,57.06,TRADE
NSW1,2020/04/02 20:30:00,7447.42,59.69,TRADE
NSW1,2020/04/02 21:00:00,7225.9,52.84,TRADE
NSW1,2020/04/02 21:30:00,7238.01,60.88,TRADE
NSW1,2020/04/02 22:00:00,7111.39,57.82,TRADE
NSW1,2020/04/02 22:30:00,7175.95,61.25,TRADE
NSW1,2020/04/02 23:00:00,7104.38,57.99,TRADE
NSW1,2020/04/02 23:30:00,7058.58,61.14,TRADE
NSW1,2020/04/03 00:00:00,6966.54,60.94,TRADE
NSW1,2020/04/03 00:30:00,6763.01,57.93,TRADE
NSW1,2020/04/03 01:00:00,6621.55,58.10,TRADE
NSW1,2020/04/03 01:30:00,6326.81,53.50,TRADE
NSW1,2020/04/03 02:00:00,6089.4,42.53,TRADE
NSW1,2020/04/03 02:30:00,5914.38,40.88,TRADE
NSW1,2020/04/03 03:00:00,5827.04,39.40,TRADE
NSW1,2020/04/03 03:30:00,5865.08,40.02,TRADE
NSW1,2020/04/03 04:00:00,5926.11,40.15,TRADE
NSW1,2020/04/03 04:30:00,6069.26,39.16,TRADE
NSW1,2020/04/03 05:00:00,6180.96,40.73,TRADE
NSW1,2020/04/03 05:30:00,6518.37,53.82,TRADE
NSW1,2020/04/03 06:00:00,6796.83,56.06,TRADE
NSW1,2020/04/03 06:30:00,7055.18,51,TRADE
NSW1,2020/04/03 07:00:00,7268.84,57.01,TRADE
NSW1,2020/04/03 07:30:00,7398.51,47.56,TRADE
NSW1,2020/04/03 08:00:00,7510.03,48.90,TRADE
NSW1,2020/04/03 08:30:00,7494.37,48.08,TRADE
NSW1,2020/04/03 09:00:00,7487.23,43.67,TRADE
NSW1,2020/04/03 09:30:00,7496.68,45.45,TRADE
NSW1,2020/04/03 10:00:00,7582.55,44.80,TRADE
NSW1,2020/04/03 10:30:00,7666.58,46.31,TRADE
NSW1,2020/04/03 11:00:00,7764.02,43.22,TRADE
NSW1,2020/04/03 11:30:00,7759.81,43.68,TRADE
NSW1,2020/04/03 12:00:00,7815.69,44.12,TRADE
NSW1,2020/04/03 12:30:00,7689.62,42.81,TRADE
NSW1,2020/04/03 13:00:00,7529.76,42,TRADE
NSW1,2020/04/03 13:30:00,7569.61,41.62,TRADE
NSW1,2020/04/03 14:00:00,7660.44,42.09,TRADE
NSW1,2020/04/03 14:30:00,7791.16,43.21,TRADE
NSW1,2020/04/03 15:00:00,7904.3,48.45,TRADE
NSW1,2020/04/03 15:30:00,7994.75,51.54,TRADE
NSW1,2020/04/03 16:00:00,8078.09,62.41,TRADE
NSW1,2020/04/03 16:30:00,8181.41,52.74,TRADE
NSW1,2020/04/03 17:00:00,8381.43,65.98,TRADE
NSW1,2020/04/03 17:30:00,8391.14,122.88,TRADE
NSW1,2020/04/03 18:00:00,8414.49,74.96,TRADE
NSW1,2020/04/03 18:30:00,8291.1,70.18,TRADE
NSW1,2020/04/03 19:00:00,8042.55,60.79,TRADE
NSW1,2020/04/03 19:30:00,7866.8,49.26,TRADE
NSW1,2020/04/03 20:00:00,7607.65,44.11,TRADE
NSW1,2020/04/03 20:30:00,7472.61,44.52,TRADE
NSW1,2020/04/03 21:00:00,7312.29,41.40,TRADE
NSW1,2020/04/03 21:30:00,7343.34,45.51,TRADE
NSW1,2020/04/03 22:00:00,7280.76,44.78,TRADE
NSW1,2020/04/03 22:30:00,7367.14,51.85,TRADE
NSW1,2020/04/03 23:00:00,7294.83,51,TRADE
NSW1,2020/04/03 23:30:00,7186.49,63.48,TRADE
NSW1,2020/04/04 00:00:00,7098.92,56.99,TRADE
NSW1,2020/04/04 00:30:00,6924.96,53.72,TRADE
NSW1,2020/04/04 01:00:00,6716.83,56.71,TRADE
NSW1,2020/04/04 01:30:00,6430.69,57.75,TRADE
NSW1,2020/04/04 02:00:00,6158.1,50.21,TRADE
NSW1,2020/04/04 02:30:00,6000.45,48.20,TRADE
NSW1,2020/04/04 03:00:00,5871.08,48.04,TRADE
NSW1,2020/04/04 03:30:00,5870.08,45.94,TRADE
NSW1,2020/04/04 04:00:00,5859.34,36.52,TRADE
NSW1,2020/04/04 04:30:00,5943.17,27.35,TRADE
NSW1,2020/04/04 05:00:00,5976.17,39.58,TRADE
NSW1,2020/04/04 05:30:00,6210.55,44.72,TRADE
NSW1,2020/04/04 06:00:00,6347.79,39.70,TRADE
NSW1,2020/04/04 06:30:00,6456.28,38.43,TRADE
NSW1,2020/04/04 07:00:00,6563.49,39.90,TRADE
NSW1,2020/04/04 07:30:00,6777.76,40.03,TRADE
NSW1,2020/04/04 08:00:00,6935.86,38.25,TRADE
NSW1,2020/04/04 08:30:00,7078.67,33.78,TRADE
NSW1,2020/04/04 09:00:00,7015.62,39.26,TRADE
NSW1,2020/04/04 09:30:00,6815.63,38.31,TRADE
NSW1,2020/04/04 10:00:00,6598.01,6.61,TRADE
NSW1,2020/04/04 10:30:00,6557.95,19.98,TRADE
NSW1,2020/04/04 11:00:00,6466.27,14.25,TRADE
NSW1,2020/04/04 11:30:00,6374.45,36.55,TRADE
NSW1,2020/04/04 12:00:00,6241.22,37.46,TRADE
NSW1,2020/04/04 12:30:00,6138.55,32.84,TRADE
NSW1,2020/04/04 13:00:00,6049.57,32.80,TRADE
NSW1,2020/04/04 13:30:00,5992.41,24.68,TRADE
NSW1,2020/04/04 14:00:00,5997.71,18.67,TRADE
NSW1,2020/04/04 14:30:00,6120.68,41.08,TRADE
NSW1,2020/04/04 15:00:00,6249.67,32.40,TRADE
NSW1,2020/04/04 15:30:00,6414.34,35.78,TRADE
NSW1,2020/04/04 16:00:00,6638.44,47.16,TRADE
NSW1,2020/04/04 16:30:00,6840.94,38.97,TRADE
NSW1,2020/04/04 17:00:00,7220.18,53.58,TRADE
NSW1,2020/04/04 17:30:00,7481.86,45.16,TRADE
NSW1,2020/04/04 18:00:00,7618.82,53.89,TRADE
NSW1,2020/04/04 18:30:00,7730.94,65.34,TRADE
NSW1,2020/04/04 19:00:00,7593.9,64.40,TRADE
NSW1,2020/04/04 19:30:00,7337.49,52.82,TRADE
NSW1,2020/04/04 20:00:00,7137.18,48.39,TRADE
NSW1,2020/04/04 20:30:00,6988.11,43.57,TRADE
NSW1,2020/04/04 21:00:00,6844.47,41.72,TRADE
NSW1,2020/04/04 21:30:00,6809.9,41.50,TRADE
NSW1,2020/04/04 22:00:00,6715.83,39.70,TRADE
NSW1,2020/04/04 22:30:00,6740.55,38.76,TRADE
NSW1,2020/04/04 23:00:00,6567.71,38.39,TRADE
NSW1,2020/04/04 23:30:00,6409.76,38.52,TRADE
NSW1,2020/04/05 00:00:00,6324.7,38.22,TRADE
NSW1,2020/04/05 00:30:00,6162.04,39.04,TRADE
NSW1,2020/04/05 01:00:00,6028.96,37.62,TRADE
