REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2020/07/01 00:30:00,1571.77,46.17,TRADE
SA1,2020/07/01 01:00:00,1530.51,44.33,TRADE
SA1,2020/07/01 01:30:00,1422.15,41.71,TRADE
SA1,2020/07/01 02:00:00,1310.82,32.34,TRADE
SA1,2020/07/01 02:30:00,1221.33,21.59,TRADE
SA1,2020/07/01 03:00:00,1198.83,10.06,TRADE
SA1,2020/07/01 03:30:00,1172.55,0.26,TRADE
SA1,2020/07/01 04:00:00,1145.61,1.45,TRADE
SA1,2020/07/01 04:30:00,1111.33,8.75,TRADE
SA1,2020/07/01 05:00:00,1103.1,8.78,TRADE
SA1,2020/07/01 05:30:00,1116.68,7.71,TRADE
SA1,2020/07/01 06:00:00,1151.12,16.79,TRADE
SA1,2020/07/01 06:30:00,1185.46,23.35,TRADE
SA1,2020/07/01 07:00:00,1293.99,41.80,TRADE
SA1,2020/07/01 07:30:00,1430.18,51.93,TRADE
SA1,2020/07/01 08:00:00,1576.25,57.54,TRADE
SA1,2020/07/01 08:30:00,1662.63,53.61,TRADE
SA1,2020/07/01 09:00:00,1614.04,44.98,TRADE
SA1,2020/07/01 09:30:00,1508.77,40.23,TRADE
SA1,2020/07/01 10:00:00,1389.51,39.85,TRADE
SA1,2020/07/01 10:30:00,1309.63,37.26,TRADE
SA1,2020/07/01 11:00:00,1233.07,26.56,TRADE
SA1,2020/07/01 11:30:00,1156.33,23.64,TRADE
SA1,2020/07/01 12:00:00,983.64,17.56,TRADE
SA1,2020/07/01 12:30:00,879.81,14.38,TRADE
SA1,2020/07/01 13:00:00,817.82,9.72,TRADE
SA1,2020/07/01 13:30:00,778.17,9.91,TRADE
SA1,2020/07/01 14:00:00,773.74,10.25,TRADE
SA1,2020/07/01 14:30:00,807.88,15.97,TRADE
SA1,2020/07/01 15:00:00,875.62,19.69,TRADE
SA1,2020/07/01 15:30:00,944.88,19.52,TRADE
SA1,2020/07/01 16:00:00,1077.11,26.24,TRADE
SA1,2020/07/01 16:30:00,1212.07,31.04,TRADE
SA1,2020/07/01 17:00:00,1339.42,45.35,TRADE
SA1,2020/07/01 17:30:00,1517.72,49.16,TRADE
SA1,2020/07/01 18:00:00,1672.4,63.36,TRADE
SA1,2020/07/01 18:30:00,1783.89,60.86,TRADE
SA1,2020/07/01 19:00:00,1856.96,49.85,TRADE
SA1,2020/07/01 19:30:00,1890.16,48.91,TRADE
SA1,2020/07/01 20:00:00,1838.81,58.66,TRADE
SA1,2020/07/01 20:30:00,1886.02,55.92,TRADE
SA1,2020/07/01 21:00:00,1832.85,45.14,TRADE
SA1,2020/07/01 21:30:00,1759.8,40.10,TRADE
SA1,2020/07/01 22:00:00,1653.72,37.36,TRADE
SA1,2020/07/01 22:30:00,1529.88,37.16,TRADE
SA1,2020/07/01 23:00:00,1476.81,29.55,TRADE
SA1,2020/07/01 23:30:00,1431.9,31.96,TRADE
SA1,2020/07/02 00:00:00,1589.08,37.22,TRADE
SA1,2020/07/02 00:30:00,1514.29,36.83,TRADE
SA1,2020/07/02 01:00:00,1405.46,26.70,TRADE
SA1,2020/07/02 01:30:00,1338.71,28.92,TRADE
SA1,2020/07/02 02:00:00,1265.85,22.35,TRADE
SA1,2020/07/02 02:30:00,1226.96,25.17,TRADE
SA1,2020/07/02 03:00:00,1199.58,8.21,TRADE
SA1,2020/07/02 03:30:00,1158.71,9.18,TRADE
SA1,2020/07/02 04:00:00,1138.7,12.29,TRADE
SA1,2020/07/02 04:30:00,1109.49,7.77,TRADE
SA1,2020/07/02 05:00:00,1068,15.73,TRADE
SA1,2020/07/02 05:30:00,1089.7,16.71,TRADE
SA1,2020/07/02 06:00:00,1102.85,9.41,TRADE
SA1,2020/07/02 06:30:00,1195.68,23.30,TRADE
SA1,2020/07/02 07:00:00,1340.1,47.78,TRADE
SA1,2020/07/02 07:30:00,1488.54,40.76,TRADE
SA1,2020/07/02 08:00:00,1628.91,42.22,TRADE
SA1,2020/07/02 08:30:00,1730.4,72.95,TRADE
SA1,2020/07/02 09:00:00,1725.1,55.21,TRADE
SA1,2020/07/02 09:30:00,1618.25,43.26,TRADE
SA1,2020/07/02 10:00:00,1486.33,44.73,TRADE
SA1,2020/07/02 10:30:00,1376.2,40.65,TRADE
SA1,2020/07/02 11:00:00,1245.33,28.79,TRADE
SA1,2020/07/02 11:30:00,1111.69,30.89,TRADE
SA1,2020/07/02 12:00:00,1161.38,31.95,TRADE
SA1,2020/07/02 12:30:00,1117.27,29.46,TRADE
SA1,2020/07/02 13:00:00,1117.59,26.91,TRADE
SA1,2020/07/02 13:30:00,1083.94,30.23,TRADE
SA1,2020/07/02 14:00:00,1066.57,25.95,TRADE
SA1,2020/07/02 14:30:00,1111.58,33.36,TRADE
SA1,2020/07/02 15:00:00,1186.35,37.97,TRADE
SA1,2020/07/02 15:30:00,1302.32,37.71,TRADE
SA1,2020/07/02 16:00:00,1290.29,39.36,TRADE
SA1,2020/07/02 16:30:00,1459.89,40.80,TRADE
SA1,2020/07/02 17:00:00,1541.61,42.22,TRADE
SA1,2020/07/02 17:30:00,1710.13,42.51,TRADE
SA1,2020/07/02 18:00:00,1941.37,57.38,TRADE
SA1,2020/07/02 18:30:00,2076.11,62.16,TRADE
SA1,2020/07/02 19:00:00,2100.75,49.20,TRADE
SA1,2020/07/02 19:30:00,2048.12,44.65,TRADE
SA1,2020/07/02 20:00:00,2033.24,43.40,TRADE
SA1,2020/07/02 20:30:00,1984.87,42.08,TRADE
SA1,2020/07/02 21:00:00,1916.45,43,TRADE
SA1,2020/07/02 21:30:00,1848.01,41.99,TRADE
SA1,2020/07/02 22:00:00,1759.8,41.97,TRADE
SA1,2020/07/02 22:30:00,1641.4,42.18,TRADE
SA1,2020/07/02 23:00:00,1540.16,38.28,TRADE
SA1,2020/07/02 23:30:00,1452.76,44.46,TRADE
SA1,2020/07/03 00:00:00,1645.33,50.38,TRADE
SA1,2020/07/03 00:30:00,1589.04,45.08,TRADE
SA1,2020/07/03 01:00:00,1516.94,42.26,TRADE
SA1,2020/07/03 01:30:00,1421.2,37.44,TRADE
SA1,2020/07/03 02:00:00,1357.51,38.19,TRADE
SA1,2020/07/03 02:30:00,1280.74,31.93,TRADE
SA1,2020/07/03 03:00:00,1229.69,22.79,TRADE
SA1,2020/07/03 03:30:00,1198.45,15.61,TRADE
SA1,2020/07/03 04:00:00,1175.38,16.43,TRADE
SA1,2020/07/03 04:30:00,1173.27,19.29,TRADE
SA1,2020/07/03 05:00:00,1160.15,23.06,TRADE
SA1,2020/07/03 05:30:00,1168.57,30.93,TRADE
SA1,2020/07/03 06:00:00,1201.93,14.61,TRADE
SA1,2020/07/03 06:30:00,1271.18,36.94,TRADE
SA1,2020/07/03 07:00:00,1373.58,44.79,TRADE
SA1,2020/07/03 07:30:00,1495.67,39.01,TRADE
SA1,2020/07/03 08:00:00,1610.05,40.32,TRADE
SA1,2020/07/03 08:30:00,1692.42,41.77,TRADE
SA1,2020/07/03 09:00:00,1720.36,42.09,TRADE
SA1,2020/07/03 09:30:00,1653.76,41.83,TRADE
SA1,2020/07/03 10:00:00,1588.02,42.36,TRADE
SA1,2020/07/03 10:30:00,1540.9,43.49,TRADE
SA1,2020/07/03 11:00:00,1422.94,47.45,TRADE
SA1,2020/07/03 11:30:00,1257.56,39.10,TRADE
SA1,2020/07/03 12:00:00,1208.6,45.57,TRADE
SA1,2020/07/03 12:30:00,1201.82,62.50,TRADE
SA1,2020/07/03 13:00:00,1172.54,50.56,TRADE
SA1,2020/07/03 13:30:00,1214.29,62.90,TRADE
SA1,2020/07/03 14:00:00,1209.97,38.44,TRADE
SA1,2020/07/03 14:30:00,1220.11,32.60,TRADE
SA1,2020/07/03 15:00:00,1254.28,-0.55,TRADE
SA1,2020/07/03 15:30:00,1248.29,35.71,TRADE
SA1,2020/07/03 16:00:00,1364.92,35.66,TRADE
SA1,2020/07/03 16:30:00,1473.6,40.12,TRADE
SA1,2020/07/03 17:00:00,1611.86,47.53,TRADE
SA1,2020/07/03 17:30:00,1781.54,34.48,TRADE
SA1,2020/07/03 18:00:00,1915.5,44.96,TRADE
SA1,2020/07/03 18:30:00,2051.92,44.95,TRADE
SA1,2020/07/03 19:00:00,2044.63,42.21,TRADE
SA1,2020/07/03 19:30:00,2011.52,41.90,TRADE
SA1,2020/07/03 20:00:00,1961.43,52.75,TRADE
SA1,2020/07/03 20:30:00,1938.93,43.75,TRADE
SA1,2020/07/03 21:00:00,1884.21,42,TRADE
SA1,2020/07/03 21:30:00,1823.46,45.13,TRADE
SA1,2020/07/03 22:00:00,1794,42,TRADE
SA1,2020/07/03 22:30:00,1694.54,53.98,TRADE
SA1,2020/07/03 23:00:00,1628.55,45.81,TRADE
SA1,2020/07/03 23:30:00,1527.81,40.81,TRADE
SA1,2020/07/04 00:00:00,1686.18,45.96,TRADE
SA1,2020/07/04 00:30:00,1604.52,41.54,TRADE
SA1,2020/07/04 01:00:00,1568.87,43.06,TRADE
SA1,2020/07/04 01:30:00,1449.17,41.28,TRADE
SA1,2020/07/04 02:00:00,1374.97,40.04,TRADE
SA1,2020/07/04 02:30:00,1308.81,40.29,TRADE
SA1,2020/07/04 03:00:00,1259.68,39.70,TRADE
SA1,2020/07/04 03:30:00,1208.96,27.30,TRADE
SA1,2020/07/04 04:00:00,1188.63,29.09,TRADE
SA1,2020/07/04 04:30:00,1164.37,39.09,TRADE
SA1,2020/07/04 05:00:00,1142.26,17.79,TRADE
SA1,2020/07/04 05:30:00,1105.91,20.77,TRADE
SA1,2020/07/04 06:00:00,1131.04,31.36,TRADE
SA1,2020/07/04 06:30:00,1158.65,36.99,TRADE
SA1,2020/07/04 07:00:00,1201.17,47.88,TRADE
SA1,2020/07/04 07:30:00,1262.08,40.71,TRADE
SA1,2020/07/04 08:00:00,1301.52,43.08,TRADE
SA1,2020/07/04 08:30:00,1379.64,60.73,TRADE
SA1,2020/07/04 09:00:00,1489.53,59.27,TRADE
SA1,2020/07/04 09:30:00,1498.05,63.76,TRADE
SA1,2020/07/04 10:00:00,1447.55,60.59,TRADE
SA1,2020/07/04 10:30:00,1352.44,49.38,TRADE
SA1,2020/07/04 11:00:00,1314.48,43.01,TRADE
SA1,2020/07/04 11:30:00,1291.32,43.92,TRADE
SA1,2020/07/04 12:00:00,1275.96,53.31,TRADE
SA1,2020/07/04 12:30:00,1241.33,43.11,TRADE
SA1,2020/07/04 13:00:00,1157.86,45.23,TRADE
SA1,2020/07/04 13:30:00,1092.61,38.03,TRADE
SA1,2020/07/04 14:00:00,1063.16,35.85,TRADE
SA1,2020/07/04 14:30:00,1056.24,41.24,TRADE
SA1,2020/07/04 15:00:00,1088.42,46.87,TRADE
SA1,2020/07/04 15:30:00,1100.22,48.96,TRADE
SA1,2020/07/04 16:00:00,1163.95,54.99,TRADE
SA1,2020/07/04 16:30:00,1269.03,56.39,TRADE
SA1,2020/07/04 17:00:00,1417.03,50.64,TRADE
SA1,2020/07/04 17:30:00,1574.69,42.87,TRADE
SA1,2020/07/04 18:00:00,1739.32,62.92,TRADE
SA1,2020/07/04 18:30:00,1883.83,66.89,TRADE
SA1,2020/07/04 19:00:00,1923.49,65.33,TRADE
SA1,2020/07/04 19:30:00,1886.08,63,TRADE
SA1,2020/07/04 20:00:00,1846.46,63,TRADE
SA1,2020/07/04 20:30:00,1821.92,62.38,TRADE
SA1,2020/07/04 21:00:00,1783.31,63.63,TRADE
SA1,2020/07/04 21:30:00,1738.38,63,TRADE
SA1,2020/07/04 22:00:00,1715.94,63,TRADE
SA1,2020/07/04 22:30:00,1667.49,63,TRADE
SA1,2020/07/04 23:00:00,1593.97,62.29,TRADE
SA1,2020/07/04 23:30:00,1537.95,65.42,TRADE
SA1,2020/07/05 00:00:00,1711.84,64.62,TRADE
SA1,2020/07/05 00:30:00,1648.9,62.33,TRADE
SA1,2020/07/05 01:00:00,1604.85,65.04,TRADE
SA1,2020/07/05 01:30:00,1494.48,53.11,TRADE
SA1,2020/07/05 02:00:00,1408.95,58.48,TRADE
SA1,2020/07/05 02:30:00,1344.61,44.17,TRADE
SA1,2020/07/05 03:00:00,1287.84,37.32,TRADE
SA1,2020/07/05 03:30:00,1236.63,22,TRADE
SA1,2020/07/05 04:00:00,1204.22,7.04,TRADE
SA1,2020/07/05 04:30:00,1184.16,15.85,TRADE
SA1,2020/07/05 05:00:00,1167.73,23.24,TRADE
SA1,2020/07/05 05:30:00,1161.65,22.20,TRADE
SA1,2020/07/05 06:00:00,1167.9,31.82,TRADE
SA1,2020/07/05 06:30:00,1172.67,35.41,TRADE
SA1,2020/07/05 07:00:00,1201.44,37.75,TRADE
SA1,2020/07/05 07:30:00,1224.49,36.71,TRADE
SA1,2020/07/05 08:00:00,1262.01,39.45,TRADE
SA1,2020/07/05 08:30:00,1331.52,45.70,TRADE
SA1,2020/07/05 09:00:00,1371.88,41.28,TRADE
SA1,2020/07/05 09:30:00,1372.81,41.73,TRADE
SA1,2020/07/05 10:00:00,1360.78,43.94,TRADE
SA1,2020/07/05 10:30:00,1333.63,44.41,TRADE
SA1,2020/07/05 11:00:00,1295.68,41.95,TRADE
SA1,2020/07/05 11:30:00,1230.45,51.24,TRADE
SA1,2020/07/05 12:00:00,1120.9,41.22,TRADE
SA1,2020/07/05 12:30:00,1027.3,40.73,TRADE
SA1,2020/07/05 13:00:00,1001.04,38.87,TRADE
SA1,2020/07/05 13:30:00,991.91,44.67,TRADE
SA1,2020/07/05 14:00:00,966.52,35.12,TRADE
SA1,2020/07/05 14:30:00,972.35,44.86,TRADE
SA1,2020/07/05 15:00:00,996.48,50.92,TRADE
SA1,2020/07/05 15:30:00,1074.46,62.17,TRADE
SA1,2020/07/05 16:00:00,1143.38,53.55,TRADE
SA1,2020/07/05 16:30:00,1254.3,61.34,TRADE
SA1,2020/07/05 17:00:00,1404.8,61.82,TRADE
SA1,2020/07/05 17:30:00,1595.61,71.68,TRADE
