REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2020/07/01 00:30:00,1064.24,30.86,TRADE
TAS1,2020/07/01 01:00:00,1043.01,33.70,TRADE
TAS1,2020/07/01 01:30:00,1045.39,32.76,TRADE
TAS1,2020/07/01 02:00:00,1050.75,29.37,TRADE
TAS1,2020/07/01 02:30:00,1071.29,27.98,TRADE
TAS1,2020/07/01 03:00:00,1077.22,12.59,TRADE
TAS1,2020/07/01 03:30:00,1063.83,42.85,TRADE
TAS1,2020/07/01 04:00:00,1058.56,34.75,TRADE
TAS1,2020/07/01 04:30:00,1049.08,31.18,TRADE
TAS1,2020/07/01 05:00:00,1067.49,22.93,TRADE
TAS1,2020/07/01 05:30:00,1103.26,82.35,TRADE
TAS1,2020/07/01 06:00:00,1135.82,21.80,TRADE
TAS1,2020/07/01 06:30:00,1216.76,22.57,TRADE
TAS1,2020/07/01 07:00:00,1314.48,40.02,TRADE
TAS1,2020/07/01 07:30:00,1403.54,48.06,TRADE
TAS1,2020/07/01 08:00:00,1418.31,53.20,TRADE
TAS1,2020/07/01 08:30:00,1430.71,50.59,TRADE
TAS1,2020/07/01 09:00:00,1412.47,45.28,TRADE
TAS1,2020/07/01 09:30:00,1381.35,878.40,TRADE
TAS1,2020/07/01 10:00:00,1341.06,36.21,TRADE
TAS1,2020/07/01 10:30:00,1303.45,36.25,TRADE
TAS1,2020/07/01 11:00:00,1237.74,28.25,TRADE
TAS1,2020/07/01 11:30:00,1206.55,25.61,TRADE
TAS1,2020/07/01 12:00:00,1185.53,20.39,TRADE
TAS1,2020/07/01 12:30:00,1176.52,16.85,TRADE
TAS1,2020/07/01 13:00:00,1149.5,12.73,TRADE
TAS1,2020/07/01 13:30:00,1151.75,16.77,TRADE
TAS1,2020/07/01 14:00:00,1132.39,18.18,TRADE
TAS1,2020/07/01 14:30:00,1138.35,23.42,TRADE
TAS1,2020/07/01 15:00:00,1144.28,25.11,TRADE
TAS1,2020/07/01 15:30:00,1095.36,22.63,TRADE
TAS1,2020/07/01 16:00:00,1120.55,29.58,TRADE
TAS1,2020/07/01 16:30:00,1209.89,33.45,TRADE
TAS1,2020/07/01 17:00:00,1294.98,47.86,TRADE
TAS1,2020/07/01 17:30:00,1370.46,40.81,TRADE
TAS1,2020/07/01 18:00:00,1402.38,43.93,TRADE
TAS1,2020/07/01 18:30:00,1409.52,38.54,TRADE
TAS1,2020/07/01 19:00:00,1395.52,32.45,TRADE
TAS1,2020/07/01 19:30:00,1349.76,25.82,TRADE
TAS1,2020/07/01 20:00:00,1317.5,24.96,TRADE
TAS1,2020/07/01 20:30:00,1283.29,27.61,TRADE
TAS1,2020/07/01 21:00:00,1252.63,22.97,TRADE
TAS1,2020/07/01 21:30:00,1222.54,31.10,TRADE
TAS1,2020/07/01 22:00:00,1219.94,30.75,TRADE
TAS1,2020/07/01 22:30:00,1143.13,19.25,TRADE
TAS1,2020/07/01 23:00:00,1093.58,7.96,TRADE
TAS1,2020/07/01 23:30:00,1074.13,24.36,TRADE
TAS1,2020/07/02 00:00:00,1031.51,35.78,TRADE
TAS1,2020/07/02 00:30:00,996.4,36.19,TRADE
TAS1,2020/07/02 01:00:00,997.25,26.68,TRADE
TAS1,2020/07/02 01:30:00,1004.73,30.19,TRADE
